"!line"	"!name"	"!destinations"	"!serviceType"	"!crossLineServiceType"

"不载客"	"全部"	"不载客,回厂,试车"	"不载客"	"不载客"

"14号线"	"常用"	"嘉禾望岗,新和,东风,镇龙"	"普通"	"特别服务"
"14号线"	"全部"	"嘉禾望岗,白云东平,夏良,太和,竹料,钟落潭,马沥,新和,太平,神岗,赤草,从化客运站,东风,红卫,新南,枫下,知识城,何棠下,旺村,汤村,镇龙北,镇龙"	"普通"	"特别服务"
"14号线"	"快速"	"嘉禾望岗,新和,从化客运站,东风,镇龙"	"快速"	"特别服务"
"14号线"	"主线"	"嘉禾望岗,白云东平,夏良,太和,竹料,钟落潭,马沥,新和,太平,神岗,赤草,从化客运站,东风"	"普通"	"特别服务"
"14号线"	"支线"	"新和,红卫,新南,枫下,知识城,何棠下,旺村,汤村,镇龙北,镇龙"	"普通"	"特别服务"

"21号线"	"常用"	"镇龙西,增城广场"	"普通"	"特别服务"
"21号线"	"全部"	"员村,天河公园,棠东,黄村,大观南路,天河智慧城,神舟路,科学城,苏元,水西,长平,金坑,镇龙西,镇龙,中新,坑贝,凤岗,朱村,山田,钟岗,增城广场"	"普通"	"特别服务"
"21号线"	"快速"	"员村,天河公园,棠东,黄村,大观南路,苏元,镇龙,凤岗,增城广场"	"快速"	"特别服务"
